capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Kuala Lumpur,2003,26.448219178082194,0.8141879633973237,1954.3,231,0.0,0,43628.888739726026,35918.13219178082,3,Malaysia,3.147777777,101.695277777
Kuwait City,2003,26.52082191780822,9.02764173284812,106.2,15,0.0,0,43798.13547945205,38585.885726027394,4,Kuwait,29.375,47.98
La Paz,2003,8.956986301369863,1.9276969725409911,2999.5,311,24.99,9,43578.4055890411,34887.19380821918,3,Bolivia,-16.495833333,-68.133333333
Libreville,2003,26.05301369863014,0.8498330232429502,2964.6,309,0.0,0,43618.74260273973,32852.95446575343,3,Gabon,0.3901,9.4544
Lilongwe,2003,20.68972602739726,2.757245187435078,810.2,103,0.0,0,43582.09994520548,36376.63191780822,1,Malawi,-13.983333333,33.783333333
Lima,2003,19.121917808219177,2.1641272747594638,50.6,16,0.0,0,43585.42054794521,38881.91246575343,4,Peru,-12.06,-77.0375
Lisbon,2003,17.09109589041096,4.923975199242763,626.6,75,0.0,0,43912.74178082192,35536.168219178086,1,Portugal,38.708042,-9.139016
Ljubljana,2003,10.50972602739726,9.629590809349175,697.0,94,76.65,15,44046.59410958904,31168.932958904108,2,Slovenia,46.051388888,14.506111111
Lobamba,2003,19.078356164383564,4.114389121100652,675.0,96,0.0,0,43572.6677260274,33753.97043835617,1,Eswatini,-26.44648,31.206411
Luanda,2003,26.48876712328767,1.7658808041033722,657.2,106,0.0,0,43592.14728767123,32838.24134246575,1,Angola,-8.838333333,13.234444444
Luxembourg,2003,9.89917808219178,7.822442311592948,595.6,101,19.53,5,44132.87605479452,29913.614438356162,2,Luxembourg,49.610555555,6.132777777
Majuro,2003,27.00835616438356,0.40808118973290064,3848.2,291,0.0,0,43645.41150684931,33168.99375342466,3,Marshall Islands,7.0918,171.3802
Malabo,2003,26.691917808219177,0.9589781900805334,4494.3,357,0.0,0,43631.38528767123,34561.36284931507,3,Equatorial Guinea,3.752063888,8.7737
Malé,2003,27.095479452054796,0.6342882164065695,1638.1,205,0.0,0,43633.08284931507,36939.040493150686,3,Maldives,4.175,73.508333333
Managua,2003,28.567808219178083,1.0558370547560787,570.6,111,0.0,0,43670.38038356164,38610.13257534247,1,Nicaragua,12.156383333,-86.272986111
Manama,2003,25.869726027397263,6.101315605878377,68.5,16,0.0,0,43768.90178082192,38988.5757260274,4,Bahrain,26.225,50.5775
Manila,2003,26.958219178082192,1.5191816970830296,1125.1,127,0.0,0,43684.208958904106,36077.53616438356,1,Philippines,14.595833333,120.977222222
Maputo,2003,23.02013698630137,3.224370410114622,493.8,65,0.0,0,43572.57964383562,35831.845095890414,1,Mozambique,-25.915277777,32.576388888
Maseru,2003,15.002739726027396,5.594945290434078,725.1,74,0.21,0,43573.949863013695,37955.7541369863,1,Lesotho,-29.31,27.48
Mexico City,2003,16.055616438356164,2.288607106918733,1612.2,172,0.0,0,43714.712493150684,37897.93939726028,1,Mexico,19.353773,-99.13589
Minsk,2003,5.656301369863014,9.916162368462803,481.5,79,107.38,27,44270.54884931507,24324.246328767123,0,Belarus,53.902246,27.561837
Monrovia,2003,26.142191780821918,1.082611371038327,4051.3,299,0.0,0,43641.97602739726,32409.754821917806,3,Liberia,6.310555555,-10.804722222
Moroni,2003,26.890547945205476,1.4340922487943661,1030.7,178,0.0,0,43586.086438356164,39330.077698630135,1,Comoros,-11.703611111,43.253611111
Moscow,2003,4.413561643835616,10.644416372784656,474.9,85,106.12,37,44348.398,22920.429616438356,0,Russia,55.750555555,37.6175
Muscat,2003,27.084383561643833,4.244513584235775,25.9,4,0.0,0,43746.2625479452,39452.75065753425,4,Oman,23.613888888,58.592222222
