capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
City of Brussels,1998,10.576986301369862,5.901263294845142,865.3,152,10.15,4,44169.184493150686,23478.124493150684
City of Brussels,1999,11.155753424657535,6.149615354228885,729.9,141,15.26,6,44168.92868493151,27417.484465753423
City of Brussels,2000,11.119398907103825,5.371175547399762,926.7,165,2.94,1,44127.41316939891,25127.739262295083
City of Brussels,2001,10.631780821917808,6.415755063026649,930.0,165,16.66,5,44168.7845479452,25863.905561643835
City of Brussels,2002,11.247945205479452,5.500023965708052,877.0,160,0.28,0,44168.7324109589,25176.732
City of Brussels,2003,11.12041095890411,6.907905854322808,586.2,100,12.6,5,44169.10336986301,29210.604602739724
City of Brussels,2004,10.685792349726777,6.258600902827468,641.8,131,18.27,5,44127.2206010929,27131.259535519126
City of Brussels,2005,11.006712328767122,6.521728487006083,612.4,127,27.3,5,44169.19583561644,27146.100356164385
City of Brussels,2006,11.36013698630137,6.976360691482826,719.6,144,14.28,3,44168.94115068493,27393.027561643838
City of Brussels,2007,11.352739726027398,5.3459911704153855,793.0,144,4.55,1,44168.98575342466,26083.736739726028
City of Brussels,2008,10.64931693989071,5.815159058410729,739.8,133,14.700000000000001,4,44127.710683060104,25640.01945355191
City of Brussels,2009,10.82068493150685,6.525754414887686,682.7,122,20.58,6,44168.905123287666,26943.150547945203
City of Brussels,2010,9.427808219178083,7.393671233141113,751.8,113,48.23,17,44168.634301369864,25762.91104109589
City of Brussels,2011,11.573698630136985,5.576938756875289,640.1,119,7.28,3,44168.85635616438,26838.510575342465
City of Brussels,2012,10.637021857923498,6.305898707054411,803.7,152,14.629999999999999,4,44126.9968579235,26625.057950819675
City of Brussels,2013,10.153561643835618,7.0471207139346275,655.8,122,38.64,14,44168.80967123288,24959.689150684935
City of Brussels,2014,11.874109589041096,5.226690229694891,806.8,149,10.570000000000002,1,44168.466493150685,27400.983890410957
City of Brussels,2015,11.252328767123288,5.815377379623737,671.8,133,14.35,6,44168.557232876716,26814.15293150685
City of Brussels,2016,11.128005464480873,6.308462558067966,765.8,134,9.87,3,44127.37043715847,27200.878825136613
City of Brussels,2017,11.286712328767122,6.346082995147763,693.6,144,30.38,5,44168.633424657535,25506.93115068493
City of Brussels,2018,11.84041095890411,6.951685983807238,614.8,120,10.5,3,44168.62131506849,27490.706383561643
City of Brussels,2019,11.521643835616437,6.094678595339605,764.6,148,16.31,5,44169.1298630137,26894.28523287671
City of Brussels,2020,12.015573770491804,5.823722443123726,759.9,131,4.41,1,44127.34540983607,28122.0118579235
City of Brussels,2021,10.530821917808218,6.141011423260602,932.3,160,29.33,12,44168.88249315068,25946.763232876714
City of Brussels,2022,12.002465753424657,6.439058737101287,618.1,111,3.43,1,44168.29871232877,28265.65706849315
City of Brussels,2023,11.96041095890411,6.244857321229759,977.1,158,16.66,5,44168.26084931507,25856.828273972602
City of Brussels,2024,11.861612021857924,5.750015639980423,1006.5,165,14.7,3,44126.85199453552,24240.637213114755
Commune of Monaco,1995,14.516986301369862,5.562964929312145,807.2,108,12.530000000000001,2,43999.24887671233,35195.958
Commune of Monaco,1996,14.061338797814207,5.622416105220607,1125.1,150,46.13,15,43967.23456284153,33452.678989071035
Commune of Monaco,1997,15.262465753424658,5.4394723354358865,621.1,82,12.74,5,43999.20893150685,35536.870547945204
Commune of Monaco,1998,14.775205479452055,5.776884857145514,571.3,71,11.83,3,43998.835342465754,36102.54854794521
Commune of Monaco,1999,14.658493150684933,6.241599557073454,813.6,87,20.37,5,43998.643835616436,35290.424191780825
Commune of Monaco,2000,14.991120218579235,5.517930583085881,1063.3,94,10.01,4,43966.9337431694,34960.27401639344
Commune of Monaco,2001,15.036986301369863,5.886879078788128,547.8,87,23.52,5,43998.52687671233,35933.92128767123
Commune of Monaco,2002,14.885753424657535,5.285058484141094,1061.7,106,17.29,6,43998.485123287675,34358.46375342466
Commune of Monaco,2003,15.375753424657534,6.853207301960808,576.7,83,20.86,6,43998.772876712326,35203.101506849314
Commune of Monaco,2004,14.816666666666666,5.9100363518649575,651.2,86,20.44,5,43966.77983606557,35221.11549180328
Commune of Monaco,2005,14.419315068493152,6.492571056614198,576.7,100,36.33,9,43998.8361369863,36268.23736986302
Commune of Monaco,2006,15.328493150684931,5.957674354324698,599.9,84,15.82,4,43998.64293150685,36210.48698630137
Commune of Monaco,2007,15.14041095890411,5.252877661981827,443.2,73,5.74,2,43998.68221917808,36727.18706849315
Commune of Monaco,2008,14.768579234972679,5.7412634429280365,960.1999999999999,111,54.11,17,43967.15368852459,34983.27953551913
Commune of Monaco,2009,15.139726027397261,6.41124719411703,863.1,102,33.32,10,43998.61567123288,35415.26060273973
