capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Tbilisi,Summer,2000,24.96032608695652,3.7700346723817204,16.3,6,0.0,0,52538.64423913043,45923.111304347825
Tbilisi,Summer,2001,24.067391304347826,3.743620469388511,32.4,6,0.0,0,52556.09141304348,44600.31695652174
Tbilisi,Summer,2002,22.69945652173913,3.2521378814999053,113.1,22,0.0,0,52573.52456521739,40584.77847826087
Tbilisi,Summer,2003,22.185326086956522,2.939598332091867,25.6,5,0.0,0,52591.0577173913,43136.55717391304
Tbilisi,Summer,2004,22.67065217391304,3.1904403238589367,34.0,9,0.0,0,52537.26728260869,43360.48108695652
Tbilisi,Summer,2005,22.78858695652174,3.551165288246012,96.0,16,0.0,0,52554.65141304347,39071.81413043478
Tbilisi,Summer,2006,25.22717391304348,2.941699189799671,51.2,9,0.0,0,52571.30010869566,43968.451195652175
Tbilisi,Summer,2007,23.26195652173913,2.876136847043971,107.69999999999999,18,0.0,0,52588.549565217385,41352.06010869565
Tbilisi,Summer,2008,23.46195652173913,3.6393482205769105,46.3,13,0.0,0,52534.14836956522,44081.86467391304
Tbilisi,Summer,2009,22.953804347826086,2.692839851679649,51.0,18,0.0,0,52550.731847826086,43349.87119565217
Tbilisi,Summer,2010,25.05923913043478,2.25610197420516,47.5,10,0.0,0,52567.53999999999,44429.33217391304
Tbilisi,Summer,2011,23.8,3.46802505789647,44.4,11,0.0,0,52584.55608695652,41962.09413043479
Tbilisi,Summer,2012,23.933152173913044,2.3664119124163467,78.3,20,0.0,0,52529.92163043479,43731.750326086956
Tbilisi,Summer,2013,22.648369565217394,2.1931142377274577,57.300000000000004,14,0.0,0,52547.08543478261,42786.524456521736
Tbilisi,Summer,2014,24.558152173913044,3.2248373089035534,42.9,11,0.0,0,52563.96423913044,43488.07739130435
Tbilisi,Summer,2015,24.894565217391307,3.2495431337524256,45.0,11,0.0,0,52581.70576086956,43388.44597826087
Tbilisi,Summer,2016,24.301086956521736,3.110360021747153,64.6,17,0.0,0,52527.494456521745,42798.95173913043
Tbilisi,Summer,2017,25.44076086956522,3.5469529513219547,72.5,19,0.0,0,52544.67913043478,44124.38923913043
